Entity_A,Entity_B,Type,Score
ARGAH1,ALDH2B4,protein-protein,0.437
ARGAH1,PYD3,protein-protein,0.442
ARGAH1,ALDH2C4,protein-protein,0.462
ARGAH1,THA1,protein-protein,0.595
ARGAH1,NAGK,protein-protein,0.596
ARGAH1,FUM2,protein-protein,0.688
ARGAH1,FUM1,protein-protein,0.688
ARGAH1,AGT2,protein-protein,0.747
ARGAH1,POX2,protein-protein,0.795
ARGAH1,LYSA1,protein-protein,0.812
ARGAH1,LYSA2,protein-protein,0.813
ARGAH1,OMR1,protein-protein,0.869
FUM1,BCE2,protein-protein,0.429
FUM1,LYSA1,protein-protein,0.447
FUM1,LYSA2,protein-protein,0.512
FUM1,ALDH2C4,protein-protein,0.561
FUM1,AGT1,protein-protein,0.63
FUM1,FDH1,protein-protein,0.85
FUM1,GGAT2,protein-protein,0.881
FUM1,ALAAT2,protein-protein,0.881
ALDH6B2,OMR1,protein-protein,0.502
ALDH6B2,KCS4,protein-protein,0.516
ALDH6B2,GLYR1,protein-protein,0.518
ALDH6B2,AGT1,protein-protein,0.538
ALDH6B2,THA1,protein-protein,0.596
ALDH6B2,HGO,protein-protein,0.638
ALDH6B2,ALDH5F1,protein-protein,0.708
ALDH6B2,ALDH3F1,protein-protein,0.928
ALDH6B2,ALDH3H1,protein-protein,0.929
ALDH6B2,ACX3.2,protein-protein,0.929
ALDH6B2,AGT2,protein-protein,0.932
ALDH6B2,ALDH3I1,protein-protein,0.936
ALDH6B2,ALDH2B4,protein-protein,0.936
ALDH6B2,ALDH7B4,protein-protein,0.938
ALDH6B2,ACX4,protein-protein,0.942
ALDH6B2,BCE2,protein-protein,0.985
AGT1,PPC1,protein-protein,0.411
AGT1,PPC3,protein-protein,0.431
AGT1,ACX4,protein-protein,0.433
AGT1,ACX3.2,protein-protein,0.446
AGT1,L2HGDH,protein-protein,0.479
AGT1,LKR/SDH,protein-protein,0.522
AGT1,PYD3,protein-protein,0.589
AGT1,HGO,protein-protein,0.637
AGT1,FUM2,protein-protein,0.649
AGT1,ALDH3H1,protein-protein,0.653
AGT1,ALDH3F1,protein-protein,0.66
AGT1,ALDH3I1,protein-protein,0.666
AGT1,ALDH10A8,protein-protein,0.668
AGT1,ALDH2C4,protein-protein,0.669
AGT1,ALDH2B4,protein-protein,0.671
AGT1,ALDH7B4,protein-protein,0.686
